incident_id,category,event_count,threat_level,rank_1,rank_2,rank_3,rank_4,rank_5,finetuned_score,gpt_4o_score,gpt_4o_mini_score,qwen25_score,qwen25_3b_score,finetuned_position,gpt_4o_position,gpt_4o_mini_position,qwen25_position,qwen25_3b_position
a51fedac-40cd-43c9-9611-c7767957baa0,Malware,120,15.350000000000001,Finetuned,GPT-4o,GPT-4o-mini,Qwen2.5,Qwen2.5 3b,9,7,6,4,2,1,2,3,4,5
46da9492-8c85-4f78-be6b-de5fad10c5fa,Malware,964,15.040000000000004,GPT-4o-mini,GPT-4o,Finetuned,Qwen2.5 3b,Qwen2.5,5,6,7,3,4,3,2,1,5,4
06598746-f11e-454e-8d96-91b1ee2a85e1,Malware,3427,15.320000000000006,GPT-4o-mini,GPT-4o,Qwen2.5 3b,Qwen2.5,Finetuned,2,6,7,3,4,5,2,1,4,3
2971e7a7-5f85-4745-9e4e-0e4a56465e60,Malware,105,15.100000000000001,GPT-4o-mini,Qwen2.5 3b,GPT-4o,Finetuned,Qwen2.5,5,6,9,3,7,4,3,1,5,2
c012d33a-c056-4f54-913a-6835a87a23cd,Malware,117,15.350000000000001,GPT-4o-mini,GPT-4o,Qwen2.5,Finetuned,Qwen2.5 3b,4,7,8,5,1,4,2,1,3,5
edfb8fd4-2393-4c2e-9778-d961bfc890ba,Malware,107,15.100000000000001,GPT-4o-mini,GPT-4o,Finetuned,Qwen2.5,Qwen2.5 3b,7,8,9,5,4,3,2,1,4,5
6d8fd038-3ca1-4577-a968-8d90c43ec02a,Malware,32,15.0,GPT-4o-mini,Qwen2.5 3b,Finetuned,Qwen2.5,GPT-4o,4,1,7,3,5,3,5,1,4,2
298b0c57-c3e8-45f6-afcd-a7e8ed7246fe,Malware,2947,15.160000000000002,GPT-4o,GPT-4o-mini,Finetuned,Qwen2.5,Qwen2.5 3b,5,7,6,3,2,3,1,2,4,5
cdadfc33-c374-40d8-ae42-b70856452291,Malware,55,15.350000000000001,,,,,,,,,,,,,,,
27c08877-ebbd-4ee4-907b-bea0a16317d5,Malware,299,15.160000000000005,Finetuned,GPT-4o-mini,Qwen2.5 3b,Qwen2.5,GPT-4o,8,1,6,4,5,1,5,2,4,3
4e99f27e-1ea8-4488-8d5c-66da6fcd8226,Malware,71,15.350000000000001,Finetuned,GPT-4o-mini,Qwen2.5 3b,GPT-4o,Qwen2.5,7,4,6,2,5,1,4,2,5,3
c29b1e6e-adb4-46bd-b4cc-f0b597813abc,Malware,31,15.100000000000001,,,,,,,,,,,,,,,
91684d9f-7746-451a-a059-d2862ffcab96,Malware,4974,15.200000000000006,GPT-4o,Finetuned,GPT-4o-mini,Qwen2.5 3b,Qwen2.5,6,7,4,1,2,2,1,3,5,4
2c219442-8dea-430a-9cff-b3f842e97573,Malware,69,15.100000000000001,GPT-4o-mini,GPT-4o,Finetuned,Qwen2.5,Qwen2.5 3b,5,7,8,3,2,3,2,1,4,5
f63c7397-31d6-4e7b-a09e-9278cf95160b,Normal,1823,15.355999999999998,GPT-4o-mini,GPT-4o,Qwen2.5 3b,Qwen2.5,Finetuned,2,7,9,4,5,5,2,1,4,3
9bcb9d22-f168-4f85-8d2c-20d33507a374,Malware,3302,15.360000000000005,GPT-4o,GPT-4o-mini,Finetuned,Qwen2.5,Qwen2.5 3b,5,8,7,3,2,3,1,2,4,5
e971f9b3-0269-4a8f-9b14-51062ea8c809,Malware,215,15.0,GPT-4o,GPT-4o-mini,Qwen2.5 3b,Qwen2.5,Finetuned,3,8,7,4,5,5,1,2,4,3
304b2da9-1bb8-40c6-89b8-615f1a71d2a3,Malware,6267,15.000000000000005,GPT-4o-mini,GPT-4o,Finetuned,Qwen2.5,Qwen2.5 3b,5,7,8,3,2,3,2,1,4,5
733a6224-0286-4edf-b880-d22e2486d5af,Malware,101,15.350000000000001,GPT-4o-mini,Qwen2.5 3b,Qwen2.5,Finetuned,GPT-4o,4,1,7,5,6,4,5,1,3,2
