incident_id,category,event_count,threat_level,rank_1,rank_2,rank_3,rank_4,rank_5,finetuned_cause_score,gpt_4o_cause_score,gpt_4o_mini_cause_score,qwen25_15b_cause_score,qwen25_3b_cause_score,finetuned_risk_score,gpt_4o_risk_score,gpt_4o_mini_risk_score,qwen25_15b_risk_score,qwen25_3b_risk_score,finetuned_position,gpt_4o_position,gpt_4o_mini_position,qwen25_15b_position,qwen25_3b_position
6d02d4c7-0b39-49cc-b412-390273467e52,Malware,105,15.650000000000002,GPT-4o-mini,Finetuned,GPT-4o,Qwen2.5 3B,Qwen2.5 1.5B,18,23,20,4,14,15,10,14,12,13,2,3,1,5,4
795e8daa-a0d6-48ce-87b5-e0696cbe84bb,Malware,103,15.35,GPT-4o,Finetuned,GPT-4o-mini,Qwen2.5 3B,Qwen2.5 1.5B,19,23,17,12,12,0,0,0,0,0,2,1,3,5,4
79fb5f38-b296-4179-818d-9adb544eff8d,Malware,110,15.100000000000001,Finetuned,GPT-4o,GPT-4o-mini,Qwen2.5 1.5B,Qwen2.5 3B,22,20,18,14,8,15,14,11,13,9,1,2,3,4,5
820ac264-8999-40a4-b5a3-1b864bcd53fe,Malware,2694,15.000000000000005,GPT-4o,GPT-4o-mini,Finetuned,Qwen2.5 3B,Qwen2.5 1.5B,14,22,17,7,9,12,21,20,8,15,3,1,2,5,4
82a27bc8-daf8-446a-8acf-7b361bbb3923,Malware,4432,15.000000000000005,GPT-4o,GPT-4o-mini,Qwen2.5 3B,Finetuned,Qwen2.5 1.5B,13,20,23,4,11,5,22,13,11,16,4,1,2,5,3
82f868c7-995c-447b-939f-1dead38aef9e,Malware,96,15.350000000000001,Finetuned,GPT-4o,Qwen2.5 1.5B,GPT-4o-mini,Qwen2.5 3B,23,21,16,13,13,15,16,13,20,9,1,2,4,3,5
8a6c42de-5708-4a4d-a9e7-228e09727613,Malware,106,15.650000000000002,Finetuned,GPT-4o-mini,Qwen2.5 3B,GPT-4o,Qwen2.5 1.5B,19,12,20,15,10,15,14,14,7,17,1,4,2,5,3
92905751-8098-4f3f-977b-399d0acb1aa5,Malware,215,15.080000000000005,GPT-4o-mini,Finetuned,GPT-4o,Qwen2.5 3B,Qwen2.5 1.5B,20,21,19,17,14,15,14,18,9,15,2,3,1,5,4
a140c428-3672-41dd-8ffa-4930d1999f31,Malware,2275,15.160000000000004,GPT-4o,GPT-4o-mini,Finetuned,Qwen2.5 1.5B,Qwen2.5 3B,13,21,19,13,10,0,0,0,0,0,3,1,2,4,5
a51fedac-40cd-43c9-9611-c7767957baa0,Malware,120,15.350000000000001,GPT-4o,Finetuned,GPT-4o-mini,Qwen2.5 1.5B,Qwen2.5 3B,21,22,13,20,11,17,19,15,6,14,2,1,3,4,5
a924f57f-b4d9-43f0-9e40-b18c38fe64ad,Malware,120,15.350000000000001,GPT-4o,Finetuned,GPT-4o-mini,Qwen2.5 1.5B,Qwen2.5 3B,20,23,14,10,10,19,21,18,15,14,2,1,3,4,5
aafe17ff-98fb-49c4-9bf6-70344a989e00,Malware,63,15.350000000000001,Finetuned,GPT-4o-mini,GPT-4o,Qwen2.5 1.5B,Qwen2.5 3B,23,15,20,5,10,10,13,11,20,11,1,3,2,4,5
ad2a0a50-4b47-4ab9-ad57-7b2604172a10,Malware,113,15.350000000000001,Finetuned,GPT-4o,GPT-4o-mini,Qwen2.5 1.5B,Qwen2.5 3B,24,23,21,16,11,16,15,14,13,17,1,2,3,4,5
b02b354e-efeb-461c-b297-c3689c66c2b3,Malware,2054,15.040000000000006,GPT-4o,GPT-4o-mini,Finetuned,Qwen2.5 3B,Qwen2.5 1.5B,9,20,15,8,10,13,17,15,9,11,3,1,2,5,4
b52d0260-2b3b-4e6a-a2d8-dd8bd53d2942,Normal,59,15.0,GPT-4o-mini,Qwen2.5 1.5B,Finetuned,Qwen2.5 3B,GPT-4o,19,12,23,16,11,15,15,17,21,17,3,5,1,2,4
b775fe33-ee3e-4f4b-a945-d4220d27c5ef,Malware,56,15.4,GPT-4o,GPT-4o-mini,Finetuned,Qwen2.5 1.5B,Qwen2.5 3B,16,24,21,13,7,11,15,13,9,10,3,1,2,4,5
bbacb28c-bfc1-4361-abca-06d8804830db,Malware,106,15.35,Finetuned,GPT-4o,GPT-4o-mini,Qwen2.5 3B,Qwen2.5 1.5B,25,20,17,13,8,16,16,15,8,15,1,2,3,5,4
c2fed9ee-92cf-4478-9894-64c65d1e0be9,Normal,29,15.100000000000001,GPT-4o-mini,GPT-4o,Qwen2.5 1.5B,Finetuned,Qwen2.5 3B,17,24,20,14,7,12,11,15,16,11,4,2,1,3,5
cb70adae-5eb1-4664-a9d5-5ca41a855b57,Malware,3853,15.160000000000002,GPT-4o-mini,GPT-4o,Qwen2.5 1.5B,Qwen2.5 3B,Finetuned,12,18,20,13,7,9,11,11,13,17,5,2,1,3,4
cf2be4e5-2202-4ffb-b2c6-e69890c0525c,Malware,263,15.200000000000003,Finetuned,GPT-4o,GPT-4o-mini,Qwen2.5 3B,Qwen2.5 1.5B,23,19,15,11,9,15,17,11,7,13,1,2,3,5,4
d03bd66c-094b-4d84-8e45-1b3fba56aae9,Malware,29,15.36000000000001,GPT-4o-mini,Finetuned,GPT-4o,Qwen2.5 1.5B,Qwen2.5 3B,20,18,23,14,8,12,11,16,9,8,2,3,1,4,5
d8ba48be-4eb1-4ac1-9639-8f1a81d11946,Malware,2926,15.720000000000006,GPT-4o-mini,GPT-4o,Qwen2.5 3B,Qwen2.5 1.5B,Finetuned,12,22,21,13,10,6,16,22,9,22,5,2,1,4,3
daa820ee-d1dc-41b5-a69e-c23a62b42a66,Malware,211,15.25,Finetuned,GPT-4o,GPT-4o-mini,Qwen2.5 1.5B,Qwen2.5 3B,24,15,17,15,8,12,17,14,9,13,1,2,3,4,5
dc5efd9e-0b20-4dde-a2bf-686cfbe48f96,Malware,5407,15.560000000000006,GPT-4o,GPT-4o-mini,Qwen2.5 1.5B,Qwen2.5 3B,Finetuned,6,23,18,11,7,8,19,20,18,13,5,1,2,3,4
e1d5d321-2f27-4865-8a38-18a08c5d2417,Malware,31,15.1,Qwen2.5 1.5B,GPT-4o,Finetuned,GPT-4o-mini,Qwen2.5 3B,17,16,15,13,9,14,16,13,19,13,3,2,4,1,5
e26fb2e4-ab1b-400e-b2d3-077cb2886047,Malware,28,15.36000000000001,GPT-4o-mini,GPT-4o,Finetuned,Qwen2.5 3B,Qwen2.5 1.5B,25,22,27,17,14,14,18,15,9,13,3,2,1,5,4
e6a848f6-cf5c-4625-83a8-a1351f37d7ce,Malware,115,15.100000000000001,Finetuned,GPT-4o,GPT-4o-mini,Qwen2.5 3B,Qwen2.5 1.5B,20,19,15,5,12,18,17,16,13,17,1,2,3,5,4
e83090c0-d469-461b-b185-675619f68c73,Malware,790,15.600000000000007,GPT-4o,GPT-4o-mini,Finetuned,Qwen2.5 1.5B,Qwen2.5 3B,20,22,21,16,14,15,17,16,13,10,3,1,2,4,5
e891f7c3-2e55-4e40-aae8-1f3bdb16bf75,Malware,108,15.100000000000001,GPT-4o,Finetuned,GPT-4o-mini,Qwen2.5 3B,Qwen2.5 1.5B,20,23,18,7,9,19,17,17,11,16,2,1,3,5,4
ef52f7ae-6801-4a04-8d2d-6e4bd36c3cf7,Malware,103,15.100000000000001,GPT-4o,GPT-4o-mini,Finetuned,Qwen2.5 1.5B,Qwen2.5 3B,15,23,18,10,4,16,17,14,9,10,3,1,2,4,5
ef8de12d-54f4-4b02-9445-8e0554a46c79,Malware,1025,15.360000000000007,GPT-4o,Finetuned,GPT-4o-mini,Qwen2.5 3B,Qwen2.5 1.5B,17,23,20,7,11,19,16,15,8,14,2,1,3,5,4
f13f31b1-5f68-4b69-a051-e72f6ac2d029,Malware,81,15.100000000000001,Finetuned,GPT-4o,GPT-4o-mini,Qwen2.5 1.5B,Qwen2.5 3B,23,20,16,9,7,14,12,12,16,12,1,2,3,4,5
f1986bd6-d690-45b6-82b5-183c70410cc6,Normal,521,15.200000000000008,GPT-4o,GPT-4o-mini,Finetuned,Qwen2.5 1.5B,Qwen2.5 3B,11,22,18,15,9,16,21,13,9,8,3,1,2,4,5
f594921a-c9a6-4d3f-a9a1-8aee5a3322aa,Malware,539,15.320000000000006,GPT-4o,Finetuned,GPT-4o-mini,Qwen2.5 3B,Qwen2.5 1.5B,16,20,15,6,9,16,14,16,11,13,2,1,3,5,4
f63c7397-31d6-4e7b-a09e-9278cf95160b,Normal,1823,15.355999999999998,GPT-4o,GPT-4o-mini,Qwen2.5 3B,Finetuned,Qwen2.5 1.5B,12,20,22,9,17,11,18,12,7,15,4,1,2,5,3
f8ab8805-a66f-45a7-a270-3120febd3c6f,Malware,92,15.350000000000001,GPT-4o,Finetuned,GPT-4o-mini,Qwen2.5 1.5B,Qwen2.5 3B,21,22,20,11,9,12,16,12,19,14,2,1,3,4,5
